,gen_loss,real_acc,fake_acc,fake_loss,real_loss
202,"tf.Tensor(1.1772934, shape=(), dtype=float32)","tf.Tensor(76.019, shape=(), dtype=float32)","tf.Tensor(79.684, shape=(), dtype=float32)","tf.Tensor(0.4863708, shape=(), dtype=float32)","tf.Tensor(0.5123143, shape=(), dtype=float32)"
203,"tf.Tensor(1.1159716, shape=(), dtype=float32)","tf.Tensor(71.752, shape=(), dtype=float32)","tf.Tensor(75.783, shape=(), dtype=float32)","tf.Tensor(0.5178398, shape=(), dtype=float32)","tf.Tensor(0.5492067, shape=(), dtype=float32)"
204,"tf.Tensor(1.2959516, shape=(), dtype=float32)","tf.Tensor(78.6315, shape=(), dtype=float32)","tf.Tensor(83.626, shape=(), dtype=float32)","tf.Tensor(0.43161333, shape=(), dtype=float32)","tf.Tensor(0.46211702, shape=(), dtype=float32)"
205,"tf.Tensor(1.2398403, shape=(), dtype=float32)","tf.Tensor(74.809, shape=(), dtype=float32)","tf.Tensor(80.9795, shape=(), dtype=float32)","tf.Tensor(0.45974806, shape=(), dtype=float32)","tf.Tensor(0.51267374, shape=(), dtype=float32)"
206,"tf.Tensor(1.3064133, shape=(), dtype=float32)","tf.Tensor(77.54, shape=(), dtype=float32)","tf.Tensor(83.23, shape=(), dtype=float32)","tf.Tensor(0.4325422, shape=(), dtype=float32)","tf.Tensor(0.47354808, shape=(), dtype=float32)"
207,"tf.Tensor(1.1639128, shape=(), dtype=float32)","tf.Tensor(74.3895, shape=(), dtype=float32)","tf.Tensor(79.8205, shape=(), dtype=float32)","tf.Tensor(0.48552886, shape=(), dtype=float32)","tf.Tensor(0.52329224, shape=(), dtype=float32)"
208,"tf.Tensor(1.1186712, shape=(), dtype=float32)","tf.Tensor(71.937, shape=(), dtype=float32)","tf.Tensor(76.8975, shape=(), dtype=float32)","tf.Tensor(0.51782656, shape=(), dtype=float32)","tf.Tensor(0.5572361, shape=(), dtype=float32)"
209,"tf.Tensor(1.0638237, shape=(), dtype=float32)","tf.Tensor(68.991, shape=(), dtype=float32)","tf.Tensor(72.149, shape=(), dtype=float32)","tf.Tensor(0.5515092, shape=(), dtype=float32)","tf.Tensor(0.5874447, shape=(), dtype=float32)"
210,"tf.Tensor(1.1576344, shape=(), dtype=float32)","tf.Tensor(71.3695, shape=(), dtype=float32)","tf.Tensor(75.3875, shape=(), dtype=float32)","tf.Tensor(0.5214836, shape=(), dtype=float32)","tf.Tensor(0.5626093, shape=(), dtype=float32)"
211,"tf.Tensor(1.0267131, shape=(), dtype=float32)","tf.Tensor(69.703, shape=(), dtype=float32)","tf.Tensor(73.951, shape=(), dtype=float32)","tf.Tensor(0.54434806, shape=(), dtype=float32)","tf.Tensor(0.5731474, shape=(), dtype=float32)"
212,"tf.Tensor(1.0279828, shape=(), dtype=float32)","tf.Tensor(69.352, shape=(), dtype=float32)","tf.Tensor(73.5635, shape=(), dtype=float32)","tf.Tensor(0.54834455, shape=(), dtype=float32)","tf.Tensor(0.58173156, shape=(), dtype=float32)"
213,"tf.Tensor(1.0988874, shape=(), dtype=float32)","tf.Tensor(72.2055, shape=(), dtype=float32)","tf.Tensor(76.2025, shape=(), dtype=float32)","tf.Tensor(0.52689576, shape=(), dtype=float32)","tf.Tensor(0.55516833, shape=(), dtype=float32)"
214,"tf.Tensor(1.0723431, shape=(), dtype=float32)","tf.Tensor(70.011, shape=(), dtype=float32)","tf.Tensor(74.258, shape=(), dtype=float32)","tf.Tensor(0.53716505, shape=(), dtype=float32)","tf.Tensor(0.56888235, shape=(), dtype=float32)"
215,"tf.Tensor(1.0713384, shape=(), dtype=float32)","tf.Tensor(71.728, shape=(), dtype=float32)","tf.Tensor(75.7475, shape=(), dtype=float32)","tf.Tensor(0.5266829, shape=(), dtype=float32)","tf.Tensor(0.55587244, shape=(), dtype=float32)"
216,"tf.Tensor(1.0451987, shape=(), dtype=float32)","tf.Tensor(70.6455, shape=(), dtype=float32)","tf.Tensor(73.8955, shape=(), dtype=float32)","tf.Tensor(0.5461316, shape=(), dtype=float32)","tf.Tensor(0.5645008, shape=(), dtype=float32)"
217,"tf.Tensor(1.1602646, shape=(), dtype=float32)","tf.Tensor(73.4095, shape=(), dtype=float32)","tf.Tensor(77.715, shape=(), dtype=float32)","tf.Tensor(0.5014816, shape=(), dtype=float32)","tf.Tensor(0.5345493, shape=(), dtype=float32)"
218,"tf.Tensor(1.0805273, shape=(), dtype=float32)","tf.Tensor(71.291, shape=(), dtype=float32)","tf.Tensor(74.976, shape=(), dtype=float32)","tf.Tensor(0.5313539, shape=(), dtype=float32)","tf.Tensor(0.5592557, shape=(), dtype=float32)"
219,"tf.Tensor(1.1420152, shape=(), dtype=float32)","tf.Tensor(73.33, shape=(), dtype=float32)","tf.Tensor(76.774, shape=(), dtype=float32)","tf.Tensor(0.51228833, shape=(), dtype=float32)","tf.Tensor(0.5412561, shape=(), dtype=float32)"
220,"tf.Tensor(1.2382382, shape=(), dtype=float32)","tf.Tensor(75.5, shape=(), dtype=float32)","tf.Tensor(79.6225, shape=(), dtype=float32)","tf.Tensor(0.4701925, shape=(), dtype=float32)","tf.Tensor(0.5004339, shape=(), dtype=float32)"
221,"tf.Tensor(1.1169044, shape=(), dtype=float32)","tf.Tensor(70.922, shape=(), dtype=float32)","tf.Tensor(75.016, shape=(), dtype=float32)","tf.Tensor(0.5271374, shape=(), dtype=float32)","tf.Tensor(0.5691496, shape=(), dtype=float32)"
222,"tf.Tensor(0.8698647, shape=(), dtype=float32)","tf.Tensor(63.482, shape=(), dtype=float32)","tf.Tensor(66.4575, shape=(), dtype=float32)","tf.Tensor(0.61430305, shape=(), dtype=float32)","tf.Tensor(0.64020973, shape=(), dtype=float32)"
223,"tf.Tensor(0.9809606, shape=(), dtype=float32)","tf.Tensor(66.5615, shape=(), dtype=float32)","tf.Tensor(70.0445, shape=(), dtype=float32)","tf.Tensor(0.57921284, shape=(), dtype=float32)","tf.Tensor(0.6034258, shape=(), dtype=float32)"
224,"tf.Tensor(0.99144983, shape=(), dtype=float32)","tf.Tensor(69.2215, shape=(), dtype=float32)","tf.Tensor(73.5445, shape=(), dtype=float32)","tf.Tensor(0.55782634, shape=(), dtype=float32)","tf.Tensor(0.5801874, shape=(), dtype=float32)"
225,"tf.Tensor(1.0900998, shape=(), dtype=float32)","tf.Tensor(72.9965, shape=(), dtype=float32)","tf.Tensor(76.896, shape=(), dtype=float32)","tf.Tensor(0.514228, shape=(), dtype=float32)","tf.Tensor(0.535952, shape=(), dtype=float32)"
226,"tf.Tensor(1.1019015, shape=(), dtype=float32)","tf.Tensor(70.6645, shape=(), dtype=float32)","tf.Tensor(74.1685, shape=(), dtype=float32)","tf.Tensor(0.52858216, shape=(), dtype=float32)","tf.Tensor(0.5642664, shape=(), dtype=float32)"
227,"tf.Tensor(1.0365493, shape=(), dtype=float32)","tf.Tensor(70.3785, shape=(), dtype=float32)","tf.Tensor(75.1125, shape=(), dtype=float32)","tf.Tensor(0.53696245, shape=(), dtype=float32)","tf.Tensor(0.5718332, shape=(), dtype=float32)"
228,"tf.Tensor(1.0425903, shape=(), dtype=float32)","tf.Tensor(68.9515, shape=(), dtype=float32)","tf.Tensor(73.014, shape=(), dtype=float32)","tf.Tensor(0.55532604, shape=(), dtype=float32)","tf.Tensor(0.5835768, shape=(), dtype=float32)"
229,"tf.Tensor(1.0695077, shape=(), dtype=float32)","tf.Tensor(72.396, shape=(), dtype=float32)","tf.Tensor(76.354, shape=(), dtype=float32)","tf.Tensor(0.5261167, shape=(), dtype=float32)","tf.Tensor(0.5526185, shape=(), dtype=float32)"
230,"tf.Tensor(1.019098, shape=(), dtype=float32)","tf.Tensor(70.272, shape=(), dtype=float32)","tf.Tensor(71.8285, shape=(), dtype=float32)","tf.Tensor(0.56810915, shape=(), dtype=float32)","tf.Tensor(0.5826979, shape=(), dtype=float32)"
231,"tf.Tensor(0.97796464, shape=(), dtype=float32)","tf.Tensor(66.616, shape=(), dtype=float32)","tf.Tensor(69.8465, shape=(), dtype=float32)","tf.Tensor(0.58022135, shape=(), dtype=float32)","tf.Tensor(0.60975343, shape=(), dtype=float32)"
232,"tf.Tensor(0.9424643, shape=(), dtype=float32)","tf.Tensor(66.225, shape=(), dtype=float32)","tf.Tensor(71.3355, shape=(), dtype=float32)","tf.Tensor(0.5837136, shape=(), dtype=float32)","tf.Tensor(0.61270446, shape=(), dtype=float32)"
233,"tf.Tensor(1.0148183, shape=(), dtype=float32)","tf.Tensor(69.317, shape=(), dtype=float32)","tf.Tensor(71.5215, shape=(), dtype=float32)","tf.Tensor(0.560857, shape=(), dtype=float32)","tf.Tensor(0.5829504, shape=(), dtype=float32)"
234,"tf.Tensor(0.9715001, shape=(), dtype=float32)","tf.Tensor(66.312, shape=(), dtype=float32)","tf.Tensor(69.412, shape=(), dtype=float32)","tf.Tensor(0.583866, shape=(), dtype=float32)","tf.Tensor(0.61183435, shape=(), dtype=float32)"
235,"tf.Tensor(0.9232208, shape=(), dtype=float32)","tf.Tensor(65.3555, shape=(), dtype=float32)","tf.Tensor(68.542, shape=(), dtype=float32)","tf.Tensor(0.59686077, shape=(), dtype=float32)","tf.Tensor(0.62130266, shape=(), dtype=float32)"
236,"tf.Tensor(0.9780349, shape=(), dtype=float32)","tf.Tensor(69.275, shape=(), dtype=float32)","tf.Tensor(71.4045, shape=(), dtype=float32)","tf.Tensor(0.56864667, shape=(), dtype=float32)","tf.Tensor(0.5831754, shape=(), dtype=float32)"
237,"tf.Tensor(0.9334394, shape=(), dtype=float32)","tf.Tensor(68.5005, shape=(), dtype=float32)","tf.Tensor(71.4305, shape=(), dtype=float32)","tf.Tensor(0.584976, shape=(), dtype=float32)","tf.Tensor(0.6030485, shape=(), dtype=float32)"
238,"tf.Tensor(1.0081812, shape=(), dtype=float32)","tf.Tensor(72.5935, shape=(), dtype=float32)","tf.Tensor(77.156, shape=(), dtype=float32)","tf.Tensor(0.5373247, shape=(), dtype=float32)","tf.Tensor(0.55864185, shape=(), dtype=float32)"
239,"tf.Tensor(1.1385614, shape=(), dtype=float32)","tf.Tensor(74.4995, shape=(), dtype=float32)","tf.Tensor(78.437, shape=(), dtype=float32)","tf.Tensor(0.4963214, shape=(), dtype=float32)","tf.Tensor(0.5216159, shape=(), dtype=float32)"
240,"tf.Tensor(0.9911856, shape=(), dtype=float32)","tf.Tensor(68.6295, shape=(), dtype=float32)","tf.Tensor(71.7015, shape=(), dtype=float32)","tf.Tensor(0.56981, shape=(), dtype=float32)","tf.Tensor(0.5915389, shape=(), dtype=float32)"
241,"tf.Tensor(0.95466787, shape=(), dtype=float32)","tf.Tensor(68.177, shape=(), dtype=float32)","tf.Tensor(71.9215, shape=(), dtype=float32)","tf.Tensor(0.5767625, shape=(), dtype=float32)","tf.Tensor(0.5975941, shape=(), dtype=float32)"
242,"tf.Tensor(1.1218202, shape=(), dtype=float32)","tf.Tensor(74.957, shape=(), dtype=float32)","tf.Tensor(77.3285, shape=(), dtype=float32)","tf.Tensor(0.5063186, shape=(), dtype=float32)","tf.Tensor(0.51766115, shape=(), dtype=float32)"
243,"tf.Tensor(1.118094, shape=(), dtype=float32)","tf.Tensor(73.903, shape=(), dtype=float32)","tf.Tensor(77.532, shape=(), dtype=float32)","tf.Tensor(0.50588703, shape=(), dtype=float32)","tf.Tensor(0.5305781, shape=(), dtype=float32)"
244,"tf.Tensor(0.97618955, shape=(), dtype=float32)","tf.Tensor(69.6895, shape=(), dtype=float32)","tf.Tensor(73.4475, shape=(), dtype=float32)","tf.Tensor(0.55968076, shape=(), dtype=float32)","tf.Tensor(0.58104783, shape=(), dtype=float32)"
245,"tf.Tensor(0.9971868, shape=(), dtype=float32)","tf.Tensor(70.9965, shape=(), dtype=float32)","tf.Tensor(74.5725, shape=(), dtype=float32)","tf.Tensor(0.5533383, shape=(), dtype=float32)","tf.Tensor(0.5708713, shape=(), dtype=float32)"
246,"tf.Tensor(1.1158677, shape=(), dtype=float32)","tf.Tensor(74.821, shape=(), dtype=float32)","tf.Tensor(80.5945, shape=(), dtype=float32)","tf.Tensor(0.4859831, shape=(), dtype=float32)","tf.Tensor(0.5173856, shape=(), dtype=float32)"
247,"tf.Tensor(1.0951941, shape=(), dtype=float32)","tf.Tensor(69.995, shape=(), dtype=float32)","tf.Tensor(74.5315, shape=(), dtype=float32)","tf.Tensor(0.531457, shape=(), dtype=float32)","tf.Tensor(0.567766, shape=(), dtype=float32)"
248,"tf.Tensor(1.1173537, shape=(), dtype=float32)","tf.Tensor(71.336, shape=(), dtype=float32)","tf.Tensor(74.0745, shape=(), dtype=float32)","tf.Tensor(0.52868176, shape=(), dtype=float32)","tf.Tensor(0.5618331, shape=(), dtype=float32)"
249,"tf.Tensor(1.0571803, shape=(), dtype=float32)","tf.Tensor(67.758, shape=(), dtype=float32)","tf.Tensor(69.514, shape=(), dtype=float32)","tf.Tensor(0.56343085, shape=(), dtype=float32)","tf.Tensor(0.58688354, shape=(), dtype=float32)"
250,"tf.Tensor(1.0447696, shape=(), dtype=float32)","tf.Tensor(73.46, shape=(), dtype=float32)","tf.Tensor(77.068, shape=(), dtype=float32)","tf.Tensor(0.52650857, shape=(), dtype=float32)","tf.Tensor(0.5384805, shape=(), dtype=float32)"
251,"tf.Tensor(1.093556, shape=(), dtype=float32)","tf.Tensor(72.8105, shape=(), dtype=float32)","tf.Tensor(76.451, shape=(), dtype=float32)","tf.Tensor(0.5186662, shape=(), dtype=float32)","tf.Tensor(0.5462749, shape=(), dtype=float32)"
252,"tf.Tensor(1.1574656, shape=(), dtype=float32)","tf.Tensor(73.1435, shape=(), dtype=float32)","tf.Tensor(77.6925, shape=(), dtype=float32)","tf.Tensor(0.50399876, shape=(), dtype=float32)","tf.Tensor(0.54290885, shape=(), dtype=float32)"
253,"tf.Tensor(1.0977391, shape=(), dtype=float32)","tf.Tensor(72.203, shape=(), dtype=float32)","tf.Tensor(77.199, shape=(), dtype=float32)","tf.Tensor(0.5143586, shape=(), dtype=float32)","tf.Tensor(0.5467932, shape=(), dtype=float32)"
254,"tf.Tensor(1.111744, shape=(), dtype=float32)","tf.Tensor(71.5425, shape=(), dtype=float32)","tf.Tensor(76.344, shape=(), dtype=float32)","tf.Tensor(0.5217543, shape=(), dtype=float32)","tf.Tensor(0.5593917, shape=(), dtype=float32)"
255,"tf.Tensor(0.9990374, shape=(), dtype=float32)","tf.Tensor(65.117, shape=(), dtype=float32)","tf.Tensor(67.744, shape=(), dtype=float32)","tf.Tensor(0.5967737, shape=(), dtype=float32)","tf.Tensor(0.63739085, shape=(), dtype=float32)"
256,"tf.Tensor(0.97829306, shape=(), dtype=float32)","tf.Tensor(67.868, shape=(), dtype=float32)","tf.Tensor(70.839, shape=(), dtype=float32)","tf.Tensor(0.5735282, shape=(), dtype=float32)","tf.Tensor(0.5970864, shape=(), dtype=float32)"
257,"tf.Tensor(0.9544841, shape=(), dtype=float32)","tf.Tensor(68.0815, shape=(), dtype=float32)","tf.Tensor(72.1605, shape=(), dtype=float32)","tf.Tensor(0.5737096, shape=(), dtype=float32)","tf.Tensor(0.59729445, shape=(), dtype=float32)"
258,"tf.Tensor(1.0237006, shape=(), dtype=float32)","tf.Tensor(67.6275, shape=(), dtype=float32)","tf.Tensor(70.5065, shape=(), dtype=float32)","tf.Tensor(0.5695431, shape=(), dtype=float32)","tf.Tensor(0.5985885, shape=(), dtype=float32)"
259,"tf.Tensor(1.0299615, shape=(), dtype=float32)","tf.Tensor(68.72, shape=(), dtype=float32)","tf.Tensor(72.34, shape=(), dtype=float32)","tf.Tensor(0.56471, shape=(), dtype=float32)","tf.Tensor(0.5964417, shape=(), dtype=float32)"
260,"tf.Tensor(1.1028091, shape=(), dtype=float32)","tf.Tensor(74.86, shape=(), dtype=float32)","tf.Tensor(78.802, shape=(), dtype=float32)","tf.Tensor(0.5013048, shape=(), dtype=float32)","tf.Tensor(0.5246606, shape=(), dtype=float32)"
261,"tf.Tensor(1.0806893, shape=(), dtype=float32)","tf.Tensor(71.8535, shape=(), dtype=float32)","tf.Tensor(76.348, shape=(), dtype=float32)","tf.Tensor(0.5218316, shape=(), dtype=float32)","tf.Tensor(0.5504755, shape=(), dtype=float32)"
262,"tf.Tensor(1.1564932, shape=(), dtype=float32)","tf.Tensor(75.8825, shape=(), dtype=float32)","tf.Tensor(81.6755, shape=(), dtype=float32)","tf.Tensor(0.4751944, shape=(), dtype=float32)","tf.Tensor(0.5037291, shape=(), dtype=float32)"
263,"tf.Tensor(1.1195519, shape=(), dtype=float32)","tf.Tensor(73.654, shape=(), dtype=float32)","tf.Tensor(77.783, shape=(), dtype=float32)","tf.Tensor(0.50894636, shape=(), dtype=float32)","tf.Tensor(0.5348882, shape=(), dtype=float32)"
264,"tf.Tensor(1.1510539, shape=(), dtype=float32)","tf.Tensor(72.638, shape=(), dtype=float32)","tf.Tensor(76.551, shape=(), dtype=float32)","tf.Tensor(0.5053658, shape=(), dtype=float32)","tf.Tensor(0.53910947, shape=(), dtype=float32)"
265,"tf.Tensor(0.94448, shape=(), dtype=float32)","tf.Tensor(65.513, shape=(), dtype=float32)","tf.Tensor(68.987, shape=(), dtype=float32)","tf.Tensor(0.59172267, shape=(), dtype=float32)","tf.Tensor(0.61807424, shape=(), dtype=float32)"
266,"tf.Tensor(0.9227023, shape=(), dtype=float32)","tf.Tensor(66.0845, shape=(), dtype=float32)","tf.Tensor(70.125, shape=(), dtype=float32)","tf.Tensor(0.58833796, shape=(), dtype=float32)","tf.Tensor(0.61310226, shape=(), dtype=float32)"
267,"tf.Tensor(1.0957508, shape=(), dtype=float32)","tf.Tensor(72.0765, shape=(), dtype=float32)","tf.Tensor(76.4035, shape=(), dtype=float32)","tf.Tensor(0.51750165, shape=(), dtype=float32)","tf.Tensor(0.54956853, shape=(), dtype=float32)"
268,"tf.Tensor(1.0513142, shape=(), dtype=float32)","tf.Tensor(70.7715, shape=(), dtype=float32)","tf.Tensor(75.691, shape=(), dtype=float32)","tf.Tensor(0.5322743, shape=(), dtype=float32)","tf.Tensor(0.56349015, shape=(), dtype=float32)"
269,"tf.Tensor(0.96283036, shape=(), dtype=float32)","tf.Tensor(70.6775, shape=(), dtype=float32)","tf.Tensor(75.741, shape=(), dtype=float32)","tf.Tensor(0.55086106, shape=(), dtype=float32)","tf.Tensor(0.57145697, shape=(), dtype=float32)"
270,"tf.Tensor(1.0479709, shape=(), dtype=float32)","tf.Tensor(70.373, shape=(), dtype=float32)","tf.Tensor(73.5065, shape=(), dtype=float32)","tf.Tensor(0.5508854, shape=(), dtype=float32)","tf.Tensor(0.58101714, shape=(), dtype=float32)"
271,"tf.Tensor(1.01842, shape=(), dtype=float32)","tf.Tensor(68.604, shape=(), dtype=float32)","tf.Tensor(72.2575, shape=(), dtype=float32)","tf.Tensor(0.5597259, shape=(), dtype=float32)","tf.Tensor(0.59120315, shape=(), dtype=float32)"
272,"tf.Tensor(0.99597037, shape=(), dtype=float32)","tf.Tensor(68.149, shape=(), dtype=float32)","tf.Tensor(70.337, shape=(), dtype=float32)","tf.Tensor(0.56893075, shape=(), dtype=float32)","tf.Tensor(0.5899182, shape=(), dtype=float32)"
273,"tf.Tensor(1.0301572, shape=(), dtype=float32)","tf.Tensor(69.1875, shape=(), dtype=float32)","tf.Tensor(73.17, shape=(), dtype=float32)","tf.Tensor(0.555301, shape=(), dtype=float32)","tf.Tensor(0.5869312, shape=(), dtype=float32)"
274,"tf.Tensor(1.0573831, shape=(), dtype=float32)","tf.Tensor(71.2995, shape=(), dtype=float32)","tf.Tensor(75.764, shape=(), dtype=float32)","tf.Tensor(0.52841103, shape=(), dtype=float32)","tf.Tensor(0.5552691, shape=(), dtype=float32)"
275,"tf.Tensor(1.0272603, shape=(), dtype=float32)","tf.Tensor(68.4695, shape=(), dtype=float32)","tf.Tensor(72.2625, shape=(), dtype=float32)","tf.Tensor(0.5559208, shape=(), dtype=float32)","tf.Tensor(0.5861864, shape=(), dtype=float32)"
276,"tf.Tensor(0.90656567, shape=(), dtype=float32)","tf.Tensor(67.87, shape=(), dtype=float32)","tf.Tensor(72.461, shape=(), dtype=float32)","tf.Tensor(0.5827547, shape=(), dtype=float32)","tf.Tensor(0.60244954, shape=(), dtype=float32)"
277,"tf.Tensor(1.1618359, shape=(), dtype=float32)","tf.Tensor(75.4035, shape=(), dtype=float32)","tf.Tensor(79.6905, shape=(), dtype=float32)","tf.Tensor(0.4841846, shape=(), dtype=float32)","tf.Tensor(0.5106179, shape=(), dtype=float32)"
278,"tf.Tensor(0.93361735, shape=(), dtype=float32)","tf.Tensor(67.322, shape=(), dtype=float32)","tf.Tensor(71.0755, shape=(), dtype=float32)","tf.Tensor(0.5796929, shape=(), dtype=float32)","tf.Tensor(0.6022081, shape=(), dtype=float32)"
279,"tf.Tensor(1.166661, shape=(), dtype=float32)","tf.Tensor(77.09, shape=(), dtype=float32)","tf.Tensor(81.984, shape=(), dtype=float32)","tf.Tensor(0.46964014, shape=(), dtype=float32)","tf.Tensor(0.49682158, shape=(), dtype=float32)"
280,"tf.Tensor(0.99139005, shape=(), dtype=float32)","tf.Tensor(67.815, shape=(), dtype=float32)","tf.Tensor(70.6875, shape=(), dtype=float32)","tf.Tensor(0.56975895, shape=(), dtype=float32)","tf.Tensor(0.5992174, shape=(), dtype=float32)"
281,"tf.Tensor(0.9226285, shape=(), dtype=float32)","tf.Tensor(66.4965, shape=(), dtype=float32)","tf.Tensor(69.824, shape=(), dtype=float32)","tf.Tensor(0.59073627, shape=(), dtype=float32)","tf.Tensor(0.6141793, shape=(), dtype=float32)"
282,"tf.Tensor(1.1570767, shape=(), dtype=float32)","tf.Tensor(75.8675, shape=(), dtype=float32)","tf.Tensor(77.941, shape=(), dtype=float32)","tf.Tensor(0.4932584, shape=(), dtype=float32)","tf.Tensor(0.50770295, shape=(), dtype=float32)"
283,"tf.Tensor(1.1340876, shape=(), dtype=float32)","tf.Tensor(75.357, shape=(), dtype=float32)","tf.Tensor(78.767, shape=(), dtype=float32)","tf.Tensor(0.48881707, shape=(), dtype=float32)","tf.Tensor(0.5141507, shape=(), dtype=float32)"
284,"tf.Tensor(0.9449862, shape=(), dtype=float32)","tf.Tensor(67.398, shape=(), dtype=float32)","tf.Tensor(69.773, shape=(), dtype=float32)","tf.Tensor(0.58896315, shape=(), dtype=float32)","tf.Tensor(0.611813, shape=(), dtype=float32)"
285,"tf.Tensor(1.0244174, shape=(), dtype=float32)","tf.Tensor(69.337, shape=(), dtype=float32)","tf.Tensor(70.844, shape=(), dtype=float32)","tf.Tensor(0.5660627, shape=(), dtype=float32)","tf.Tensor(0.5850343, shape=(), dtype=float32)"
286,"tf.Tensor(1.1099702, shape=(), dtype=float32)","tf.Tensor(74.4765, shape=(), dtype=float32)","tf.Tensor(77.37, shape=(), dtype=float32)","tf.Tensor(0.5159156, shape=(), dtype=float32)","tf.Tensor(0.52783483, shape=(), dtype=float32)"
287,"tf.Tensor(0.9476085, shape=(), dtype=float32)","tf.Tensor(65.882, shape=(), dtype=float32)","tf.Tensor(69.0435, shape=(), dtype=float32)","tf.Tensor(0.5901064, shape=(), dtype=float32)","tf.Tensor(0.61977774, shape=(), dtype=float32)"
288,"tf.Tensor(0.94441307, shape=(), dtype=float32)","tf.Tensor(67.1825, shape=(), dtype=float32)","tf.Tensor(71.206, shape=(), dtype=float32)","tf.Tensor(0.5784972, shape=(), dtype=float32)","tf.Tensor(0.6047254, shape=(), dtype=float32)"
289,"tf.Tensor(0.97596246, shape=(), dtype=float32)","tf.Tensor(68.1865, shape=(), dtype=float32)","tf.Tensor(70.5395, shape=(), dtype=float32)","tf.Tensor(0.57130855, shape=(), dtype=float32)","tf.Tensor(0.5929183, shape=(), dtype=float32)"
290,"tf.Tensor(1.0646999, shape=(), dtype=float32)","tf.Tensor(73.206, shape=(), dtype=float32)","tf.Tensor(76.3065, shape=(), dtype=float32)","tf.Tensor(0.5219057, shape=(), dtype=float32)","tf.Tensor(0.54320693, shape=(), dtype=float32)"
291,"tf.Tensor(0.93163866, shape=(), dtype=float32)","tf.Tensor(69.184, shape=(), dtype=float32)","tf.Tensor(72.5605, shape=(), dtype=float32)","tf.Tensor(0.5756989, shape=(), dtype=float32)","tf.Tensor(0.59298056, shape=(), dtype=float32)"
292,"tf.Tensor(0.9044314, shape=(), dtype=float32)","tf.Tensor(67.6005, shape=(), dtype=float32)","tf.Tensor(69.916, shape=(), dtype=float32)","tf.Tensor(0.59983224, shape=(), dtype=float32)","tf.Tensor(0.60707295, shape=(), dtype=float32)"
293,"tf.Tensor(0.91953796, shape=(), dtype=float32)","tf.Tensor(67.438, shape=(), dtype=float32)","tf.Tensor(69.6515, shape=(), dtype=float32)","tf.Tensor(0.58750165, shape=(), dtype=float32)","tf.Tensor(0.60073566, shape=(), dtype=float32)"
294,"tf.Tensor(0.8985626, shape=(), dtype=float32)","tf.Tensor(63.779, shape=(), dtype=float32)","tf.Tensor(65.0695, shape=(), dtype=float32)","tf.Tensor(0.6160041, shape=(), dtype=float32)","tf.Tensor(0.6288036, shape=(), dtype=float32)"
295,"tf.Tensor(0.8637604, shape=(), dtype=float32)","tf.Tensor(64.415, shape=(), dtype=float32)","tf.Tensor(66.4725, shape=(), dtype=float32)","tf.Tensor(0.6244255, shape=(), dtype=float32)","tf.Tensor(0.6364699, shape=(), dtype=float32)"
296,"tf.Tensor(0.9418061, shape=(), dtype=float32)","tf.Tensor(66.127, shape=(), dtype=float32)","tf.Tensor(68.573, shape=(), dtype=float32)","tf.Tensor(0.59580946, shape=(), dtype=float32)","tf.Tensor(0.62088215, shape=(), dtype=float32)"
297,"tf.Tensor(0.87383866, shape=(), dtype=float32)","tf.Tensor(66.709, shape=(), dtype=float32)","tf.Tensor(69.6395, shape=(), dtype=float32)","tf.Tensor(0.6016874, shape=(), dtype=float32)","tf.Tensor(0.6113872, shape=(), dtype=float32)"
298,"tf.Tensor(0.8710367, shape=(), dtype=float32)","tf.Tensor(63.484, shape=(), dtype=float32)","tf.Tensor(66.2905, shape=(), dtype=float32)","tf.Tensor(0.6164013, shape=(), dtype=float32)","tf.Tensor(0.6312292, shape=(), dtype=float32)"
299,"tf.Tensor(1.0234872, shape=(), dtype=float32)","tf.Tensor(69.1855, shape=(), dtype=float32)","tf.Tensor(72.402, shape=(), dtype=float32)","tf.Tensor(0.55513823, shape=(), dtype=float32)","tf.Tensor(0.5825362, shape=(), dtype=float32)"
300,"tf.Tensor(0.9219326, shape=(), dtype=float32)","tf.Tensor(68.045, shape=(), dtype=float32)","tf.Tensor(70.8805, shape=(), dtype=float32)","tf.Tensor(0.58526456, shape=(), dtype=float32)","tf.Tensor(0.6026396, shape=(), dtype=float32)"
301,"tf.Tensor(0.8829245, shape=(), dtype=float32)","tf.Tensor(66.1175, shape=(), dtype=float32)","tf.Tensor(69.303, shape=(), dtype=float32)","tf.Tensor(0.60225624, shape=(), dtype=float32)","tf.Tensor(0.6188244, shape=(), dtype=float32)"
302,"tf.Tensor(0.97063226, shape=(), dtype=float32)","tf.Tensor(69.2925, shape=(), dtype=float32)","tf.Tensor(70.9345, shape=(), dtype=float32)","tf.Tensor(0.5717128, shape=(), dtype=float32)","tf.Tensor(0.58142775, shape=(), dtype=float32)"
303,"tf.Tensor(0.92481655, shape=(), dtype=float32)","tf.Tensor(69.715, shape=(), dtype=float32)","tf.Tensor(72.3875, shape=(), dtype=float32)","tf.Tensor(0.5740542, shape=(), dtype=float32)","tf.Tensor(0.5887429, shape=(), dtype=float32)"
