,gen_loss,real_acc,fake_acc,fake_loss,real_loss
42,"tf.Tensor(1.8253355, shape=(), dtype=float32)","tf.Tensor(86.508, shape=(), dtype=float32)","tf.Tensor(92.2235, shape=(), dtype=float32)","tf.Tensor(0.28344712, shape=(), dtype=float32)","tf.Tensor(0.32341236, shape=(), dtype=float32)"
43,"tf.Tensor(1.7794956, shape=(), dtype=float32)","tf.Tensor(88.101, shape=(), dtype=float32)","tf.Tensor(93.88, shape=(), dtype=float32)","tf.Tensor(0.27411735, shape=(), dtype=float32)","tf.Tensor(0.30746388, shape=(), dtype=float32)"
44,"tf.Tensor(1.7029848, shape=(), dtype=float32)","tf.Tensor(86.3285, shape=(), dtype=float32)","tf.Tensor(92.1265, shape=(), dtype=float32)","tf.Tensor(0.29761803, shape=(), dtype=float32)","tf.Tensor(0.3366214, shape=(), dtype=float32)"
45,"tf.Tensor(1.6483562, shape=(), dtype=float32)","tf.Tensor(86.9715, shape=(), dtype=float32)","tf.Tensor(93.513, shape=(), dtype=float32)","tf.Tensor(0.29795042, shape=(), dtype=float32)","tf.Tensor(0.33010057, shape=(), dtype=float32)"
46,"tf.Tensor(1.9439412, shape=(), dtype=float32)","tf.Tensor(90.1585, shape=(), dtype=float32)","tf.Tensor(95.617, shape=(), dtype=float32)","tf.Tensor(0.23717362, shape=(), dtype=float32)","tf.Tensor(0.26679912, shape=(), dtype=float32)"
47,"tf.Tensor(1.827286, shape=(), dtype=float32)","tf.Tensor(87.481, shape=(), dtype=float32)","tf.Tensor(94.1135, shape=(), dtype=float32)","tf.Tensor(0.26724318, shape=(), dtype=float32)","tf.Tensor(0.31127658, shape=(), dtype=float32)"
48,"tf.Tensor(1.7431859, shape=(), dtype=float32)","tf.Tensor(85.296, shape=(), dtype=float32)","tf.Tensor(91.717, shape=(), dtype=float32)","tf.Tensor(0.2996493, shape=(), dtype=float32)","tf.Tensor(0.34546563, shape=(), dtype=float32)"
49,"tf.Tensor(1.6277616, shape=(), dtype=float32)","tf.Tensor(84.8325, shape=(), dtype=float32)","tf.Tensor(90.6805, shape=(), dtype=float32)","tf.Tensor(0.32332814, shape=(), dtype=float32)","tf.Tensor(0.36006773, shape=(), dtype=float32)"
50,"tf.Tensor(1.45455, shape=(), dtype=float32)","tf.Tensor(83.0865, shape=(), dtype=float32)","tf.Tensor(89.819, shape=(), dtype=float32)","tf.Tensor(0.3584893, shape=(), dtype=float32)","tf.Tensor(0.3940714, shape=(), dtype=float32)"
51,"tf.Tensor(1.4051826, shape=(), dtype=float32)","tf.Tensor(81.8465, shape=(), dtype=float32)","tf.Tensor(87.3445, shape=(), dtype=float32)","tf.Tensor(0.38317478, shape=(), dtype=float32)","tf.Tensor(0.417656, shape=(), dtype=float32)"
52,"tf.Tensor(1.6218001, shape=(), dtype=float32)","tf.Tensor(84.9045, shape=(), dtype=float32)","tf.Tensor(90.021, shape=(), dtype=float32)","tf.Tensor(0.3293531, shape=(), dtype=float32)","tf.Tensor(0.36116078, shape=(), dtype=float32)"
53,"tf.Tensor(1.7395327, shape=(), dtype=float32)","tf.Tensor(86.8545, shape=(), dtype=float32)","tf.Tensor(91.7685, shape=(), dtype=float32)","tf.Tensor(0.29799244, shape=(), dtype=float32)","tf.Tensor(0.3291532, shape=(), dtype=float32)"
54,"tf.Tensor(1.7282051, shape=(), dtype=float32)","tf.Tensor(88.3525, shape=(), dtype=float32)","tf.Tensor(93.368, shape=(), dtype=float32)","tf.Tensor(0.28356943, shape=(), dtype=float32)","tf.Tensor(0.30940577, shape=(), dtype=float32)"
